text,class
"hi, good morning",GREETING
good morning,GREETING
good evening,GREETING
morning,GREETING
hi!,GREETING
good afternoon,GREETING
good night,GREETING
hey,GREETING
hey! there,GREETING
give me the list of my enrolled courses,NORMAL
what are the subject that i'm enrooled for semester 1,NORMAL
give me the list of my enrolled courses for sem 2,NORMAL
what are my enrolled courses for second semester,NORMAL
i need to enroll for a course,ENROLL_COURSE
enroll me for the course,ENROLL_COURSE
i want to enroll for the course module imgt 8799,ENROLL_COURSE
i need to enroll for the course seng 1254,ENROLL_COURSE
enroll me for the imgt 7452,ENROLL_COURSE
please enroll me for the course seng 4123,ENROLL_COURSE
